name,passmark,rank,value,price
128 DDR Radeon 9700 TX w/TV-Out,44,1144,NA,NA
128MB DDR Radeon 9800 Pro,79,1058,NA,NA
128MB RADEON X600 SE,49,1125,NA,NA
256MB RADEON X600,69,1075,NA,NA
7900 MOD - Radeon HD 6520G,610,568,NA,NA
A6 Micro-6500T Quad-Core APU with RadeonR4,252,820,NA,NA
ABIT Siluro T400,3,1348,NA,NA
ALL-IN-WONDER 9000,4,1319,NA,NA
ALL-IN-WONDER RADEON 8500DV,5,1284,NA,NA
All-in-Wonder X1900,127,943,NA,NA
ALL-IN-WONDER X800 GT,84,1041,NA,NA
Barco MXRT 5450,782,422,NA,NA
Chell 1.7b for Intel G33/G31,16,1246,NA,NA
Chell 1.7b for Mobile Intel 945,6,1281,NA,NA
Chell 1.8a for Mobile Intel 965,22,1226,NA,NA
Chipset Intel G41 Express,57,1113,NA,NA
EAH6450,275,800,NA,NA
FireGL T2-128,35,1180,NA,NA
FireGL V3100,52,1121,NA,NA
FireGL V3200,84,1045,NA,NA
FireGL V3300,70,1072,NA,NA
FireGL V3350,66,1084,NA,NA
FireGL V3400,103,989,NA,NA
FireGL V3600,196,870,1.22,$160.99*
FireGL V5100,92,1026,NA,NA
FireGL V5200,113,965,NA,NA
FireGL V5600,352,745,NA,NA
FireGL V7200,108,975,NA,NA
FireGL V7350,117,956,0.08,"$1,523.99*"
FireGL V7600,615,561,NA,NA
FireGL V7700,650,529,3.71,$174.99*
FireGL V8650,550,616,1.67,$329.99*
FireGL X1,59,1104,NA,NA
FireMV 2200 PCIe,36,1175,0.40,$89.99*
FireMV 2250,45,1139,0.42,$105.99*
FireMV 2260,110,971,1.05,$104.99*
FireMV 2400 PCIe,13,1249,NA,NA
FirePro 2260,118,955,NA,NA
FirePro 2270,229,832,2.16,$105.99
FirePro 2450,59,1105,0.21,$278.00*
FirePro 2460,196,871,0.76,$257.99*
FirePro 3D V3700,190,883,2.24,$84.99*
FirePro 3D V3750,348,749,6.84,$50.88*
FirePro 3D V3800,476,672,3.17,$149.99*
FirePro 3D V4800,1085,285,6.78,$159.99*
FirePro 3D V5700,564,600,1.76,$319.99*
FirePro 3D V5800,1342,236,3.63,$369.99*
FirePro 3D V7750,527,639,1.51,$350.00*
FirePro 3D V7800,1932,169,3.22,$599.99*
FirePro 3D V8700,1120,280,5.60,$199.99*
FirePro 3D V8750,1267,251,1.03,"$1,230.99*"
FirePro 3D V8800,2481,136,5.84,$424.99*
FirePro 3D V9800,2811,122,1.12,"$2,499.00*"
FirePro M2000,614,565,NA,NA
FirePro M4000,1420,218,NA,NA
FirePro M4000 Mobility Pro,1526,209,NA,NA
FirePro M40003,1416,219,NA,NA
Firepro M4100,1052,295,NA,NA
FirePro M4150,1112,281,NA,NA
FirePro M4170,1146,275,NA,NA
FirePro M5100,2035,156,NA,NA
FirePro M6000 Mobility Pro,1661,192,NA,NA
FirePro M6100,2806,123,NA,NA
FirePro M7740,643,540,NA,NA
FirePro S7000,4185,73,NA,NA
FirePro V3900,862,378,6.63,$129.99*
FirePro V4900,1296,241,8.94,$144.99*
FirePro V5900,1513,212,4.73,$319.99*
FirePro V7900,2680,125,3.72,$719.99*
FirePro V9800 Adapter,2078,155,NA,NA
FirePro W2100,901,362,7.51,$119.99
FirePro W2100 Adapter,911,357,NA,NA
FirePro W4100,1584,202,9.90,$159.99
FirePro W4100 Adapter,1535,208,NA,NA
FirePro W4170M,1279,249,NA,NA
Firepro W4190M,1175,271,NA,NA
FirePro W4300,2949,114,10.92,$269.99
FirePro W5000,2993,110,6.90,$434.00*
FirePro W5100,2823,120,8.18,$344.99
FirePro W5100 Adapter,2830,119,NA,NA
FirePro W5130M,1753,186,NA,NA
Firepro W5170M,1941,164,NA,NA
FirePro W600,1711,188,3.64,$469.99
FirePro W7000,4115,76,7.22,$569.99*
FirePro W7000 Adapter,4211,70,NA,NA
